TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
2.182675737,0.32998,0.843096,1.3799,0.346527,0.475031,0,0.733971,0.463925,0.406119,2.16861,0.547956,0
2.229115646,0.490143,1.11494,1.83738,0.14091,0.549522,0.0509034,0.43937,0.350553,0.293455,2.1912,0.602051,0
2.275555556,0.29123,1.18837,2.39822,0.0134035,0.682969,0.261831,0.489969,0.251736,0.208806,1.96985,0.825417,0
2.321995465,0.18419,0.941424,2.69725,0.0164455,0.772899,0.310534,0.445478,0.416319,0.143111,1.62965,1.08538,0
2.368435374,0.257791,0.607863,2.53866,0.0128869,0.906035,0.360976,0.461479,0.594796,0.467257,1.0449,1.39555,0
2.414875283,0.290916,0.280716,2.2245,0.583876,0.648419,0.326951,0.448223,0.728074,0.738683,0.783947,1.19477,0.00759089
2.461315193,0,0,0,0,0,0,0,0,0,0,0,0
2.507755102,1.11256,0.518245,0.546296,0.0870754,0,0.289374,0.518311,2.25028,0.30822,0.12481,0.659695,1.00894
2.554195011,1.02911,0.605548,0.649027,0.1489,0.00506853,0.411857,0.390448,1.2957,1.52919,0.0933482,0.26403,1.15431
2.600634921,0.891148,0.423934,0.51052,0.451018,0.044627,0.343277,0.596909,0.802289,1.05618,0.291882,0.169242,1.05979
2.647074830,0.699083,0.246299,0.41545,0.641733,0.0241752,0.239371,0.996217,0.665469,0.500323,0.981553,0.126509,0.774454
2.693514739,0.420312,0.107606,0.539034,0.595957,0.0330182,0.506553,1.27623,0.577877,0.425738,0.941394,0.0994832,0.596472
2.739954649,0.0851667,0.00500238,0.500465,0.839009,0.0298075,0.737848,1.63507,0.42527,0.524867,0.783994,0.111954,0.328655
2.786394558,4.78896e-05,0.257819,0.406935,1.10752,0.0203929,0.929112,1.75701,0.146417,0.649523,0.66353,0.177896,0.142115
2.832834467,0,0.505482,0.597915,1.15417,0,1.22369,1.60343,0,0.804445,0.303666,0.217788,0.399122
2.879274376,0.000124312,0.634755,0.56866,1.24484,0,1.48931,1.18584,0.0136864,0.494149,0.121937,0.261181,0.98332
2.925714286,0.454179,0.288176,0.109648,1.32418,0.187393,1.65415,0.20416,0.903783,1.19179,0.00912159,0.270685,0.822729
2.972154195,0.891352,0.63864,0.419314,0.0225678,0.588067,0.179695,0.149781,1.02748,1.02607,0.165981,0.179423,1.29479
3.018594104,0.782955,0.460031,0.570104,0.0402515,0.534694,0.273302,0.126251,0.821188,1.02697,0.194577,0.0773474,1.4316
3.065034014,0.722663,0.182172,0.96307,0.0583555,0.469381,0.283155,0.446134,0.5953,1.09527,0.174153,0.056428,1.49463
3.111473923,0.708419,0,1.3877,0.0810037,0.418326,0.181905,0.809049,0.375014,1.13259,0.188859,0.0692862,1.49405
3.157913832,0.712731,0,1.44096,0.1336,0.415577,0.355744,0.912706,0.333518,0.924945,0.492719,0.0418017,1.48418
3.204353741,0.962214,0.00126827,0.820183,0.31451,0.966879,1.31555,0.719054,0.519898,0.33626,0.203796,0.123585,1.2083
3.250793651,0.689491,0.215379,0.945916,0.302125,0.689777,1.37121,1.18191,0.360314,0.288618,0.106412,1.18413,0
3.297233560,1.30996,0.490922,0.417734,0.124064,0.473235,1.42371,0.862616,0.160765,0.165796,0.169159,0.572071,0.259586
3.343673469,1.54209,0.423787,0.425036,0.0176867,1.2023,0.312816,0.504443,0.180302,0.0421928,0.206843,0.720752,0.93337
3.390113379,0.746451,0.523492,0.363609,0.000986972,0.805298,0.477425,0.0918981,0.491238,0.0161599,0.189579,0.594214,1.87637
3.436553288,0.72235,0.591937,0.417408,0,0.876025,0.51165,0.0771436,0.377503,0.0826363,0.0594783,0.665913,1.70742
3.482993197,0.946733,0.686449,0.233409,0.000484281,0.811468,0.48487,0.325892,0.0956581,0.0764732,0.07511,0.764092,1.42228
3.529433107,1.05578,0.852108,0.195324,0.00852913,0.417923,0.625448,0.467202,0.109667,0.159841,0.00734822,0.703296,1.3461
3.575873016,1.20865,0.678564,0.181685,0.05423,0.408478,0.721069,0.691179,0.0700665,0.143312,0.124791,0.503515,1.29492
3.622312925,0.584771,0.579119,0.403753,0.158494,0.832912,0.980025,0.466959,0.277205,0.185989,0.375909,0.246147,2.21982
3.668752834,0,0.569526,0.633569,0.354855,1.11096,1.25707,0.613851,0.515209,0.18061,0.539304,0.132328,2.00536
3.715192744,0.695256,0.140424,0.131922,0.44055,0.87598,1.14464,0.662168,0.461799,0.120533,0.412793,0.187407,1.25705
3.761632653,0.856844,0.0441607,0.131604,0.0727079,0.447164,0.470676,1.12191,0.191116,0.26688,0.577987,0.459978,1.04629
3.808072562,0.951626,0.00221151,0.123569,0,0.0799937,0.628393,0.622404,0.170333,0.660873,0.757093,0.817477,1.33154
3.854512472,1.0781,0.000972273,0.125757,0.0102616,0.0790986,0.596708,0.41436,0.235442,0.798261,0.947894,0.683249,1.22328
3.900952381,1.15486,0.307627,0.126807,0.0153137,0.0640004,0.606967,0.343898,0.279508,0.858766,1.10231,0.46588,1.13277
3.947392290,1.30137,0.589175,0.124869,0.0171834,0.144201,0.386587,0.219042,0.382855,0.883352,1.35318,0.27312,1.04183
3.993832200,1.16929,0.616704,0.252733,0.0178965,0.205171,0.255421,0,0.359076,0.685382,1.49278,0.213026,0.747776
4.040272109,0.0535461,0.594874,0.286322,0.671727,0.873117,0.336036,0.0122144,0.711053,0.328019,0.915576,0.635906,0.34798
4.086712018,0.250596,0.248012,0.360124,0.764837,0.220832,0.757135,0.901867,0.826518,0.746705,0.129928,0.650964,1.44824
4.133151927,1.28972,0.000790659,0.229436,0.670199,0.518481,0.439346,0.98018,0.0591975,0.979918,1.00137,0.341854,0.873223
4.179591837,0.960782,0.00271654,0.571854,0.551192,0.41205,0.327885,1.10274,0.0780215,0.91809,1.28825,0.542367,0.723139
4.226031746,0.530505,0.00282126,0.613189,0.609514,0.167155,0.456335,1.6216,0.0836116,0.628452,1.19811,0.466118,1.214
4.272471655,0.412982,0.00286913,0.409582,0.63857,0.205225,0.547281,1.58452,0.0499447,0.22115,1.08267,0.418489,1.51972
4.318911565,0.155498,0.325166,0.293221,0.349658,0.189319,0.702759,1.49321,0.0520923,0.051443,0.916386,0.597589,1.72399
4.365351474,0.00734366,0.300974,0.258773,0.0136202,0.111021,1.16716,1.84177,0.0733932,0.0936103,0.928404,0.562357,1.83875
4.411791383,0.0348415,0.0124283,0.20621,0.246798,0.271645,1.21037,1.72963,0.108619,0.0983665,1.2774,0.474879,1.83941
4.458231293,0.0127931,0.00348204,0.290001,0.394202,0.448035,1.25548,1.53244,0,0.16695,1.69304,0.573149,1.87375
4.504671202,0.000529342,0.157287,0.35178,0.469533,0.697122,1.07191,1.19971,0.0266754,0.129717,1.47972,0.679417,1.25163
4.551111111,0.763461,0.0861356,0,0.99497,1.32037,1.05779,0.0826045,0.491091,0.475777,0.0954934,1.04461,0.685639
4.597551020,1.16528,0.293226,0,0.761366,0.105858,1.52319,0.070181,0.55611,0.337785,0.0755045,0.827466,1.08242
4.643990930,2.05387,0.21832,0,0.420843,0.120694,1.31398,0.0808474,0.547,0.0427324,0.0539281,0.668784,0.990821
4.690430839,2.31613,0.142522,0,0.00894586,0.150947,1.04202,0.291908,0.521342,0.0944577,0.027104,0.435264,0.912873
4.736870748,2.58757,0.0428998,0,0.00534455,0.183215,0.881644,0.348563,0.277549,0.0883659,0.142118,0.205188,0.977264
